p,gmn
0.1,-1.5449e-11
0.1,-4.14811e-15
0.1,-9.25929e-09
0.1,-7.95509e-09
0.1,-7.23372e-10
0.1,-2.84642e-09
0.1,0.0275173
0.1,-4.49408e-11
0.1,-4.63021e-10
0.1,-2.04233e-08
0.1,-4.74006e-09
0.1,-7.02216e-15
0.1,0.036782
0.1,-2.78462e-10
0.1,-1.10299e-11
0.1,-3.60382e-08
0.1,0.0108398
0.1,-3.31611e-08
0.1,-4.13205e-08
0.1,-2.41865e-10
0.1,0.168433
0.1,-1.58042e-11
0.1,-5.80665e-11
0.1,-1.85701e-08
0.1,-2.86068e-15
0.1,-4.12892e-08
0.1,-4.54436e-08
0.1,-3.69687e-08
0.1,-8.38671e-11
0.1,-8.54751e-12
0.1,-1.14784e-08
0.1,-4.49329e-11
0.1,-4.49342e-11
0.1,-4.31582e-11
0.1,-5.83465e-10
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,-2.99533e-08
0.1,-3.20894e-09
0.1,-2.17623e-13
0.1,-1.85638e-11
0.1,-3.27729e-09
0.1,-9.38004e-09
0.1,-1.0844e-09
0.1,-3.5335e-10
0.1,-7.63909e-08
0.1,-1.12621e-10
0.1,-4.4414e-09
0.1,-4.49324e-11
0.1,-5.83426e-09
0.1,-1.29093e-10
0.1,0.000775697
0.1,-5.24928e-10
0.1,-7.71551e-10
0.1,-8.84203e-10
0.1,-4.49933e-11
0.1,-4.73837e-11
0.1,-2.14766e-09
0.1,-1.50246e-09
0.1,-4.09215e-08
0.1,-4.49324e-11
0.1,-3.6243e-14
0.1,-8.35495e-09
0.1,-2.11761e-13
0.1,-5.09255e-16
0.1,-2.5846e-09
0.1,-3.22476e-13
0.1,-1.78654e-10
0.1,-1.40905e-13
0.1,-5.20256e-10
0.1,-4.49336e-11
0.1,-4.49324e-11
0.1,0.184994
0.1,-7.37208e-10
0.1,-5.66752e-11
0.1,-3.04937e-13
0.1,-3.9609e-11
0.1,-3.73382e-14
0.1,-5.29756e-12
0.1,-2.43256e-09
0.1,-4.49324e-11
0.1,-1.00292e-13
0.1,-5.59455e-11
0.1,-3.67993e-10
0.1,-2.29396e-14
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,0.000482679
0.1,-1.2175e-13
0.1,-4.49324e-11
0.1,-1.60484e-14
0.1,-1.59769e-08
0.1,-1.32329e-08
0.1,-2.03334e-08
0.1,-8.89259e-13
0.1,-1.85125e-10
0.1,-8.77963e-15
0.1,-5.15743e-12
0.1,-6.19144e-10
0.1,-1.45948e-09
0.1,-1.50035e-10
0.1,-2.41105e-10
0.1,-3.53606e-10
0.1,-7.78655e-09
0.1,-2.69823e-09
0.1,-5.33601e-13
0.1,-1.63736e-10
0.1,-4.49331e-11
0.1,-3.10085e-13
0.1,0.0159612
0.1,-3.81305e-09
0.1,-3.02247e-16
0.1,-6.56187e-12
0.1,-8.75436e-10
0.1,-2.24742e-10
0.1,-4.49341e-11
0.1,-4.49324e-11
0.1,-2.80339e-10
0.1,-3.32651e-14
0.1,0.0700438
0.1,0.04085
0.1,0.0299909
0.1,0.0450422
0.1,-7.06107e-11
0.1,-1.20064e-08
0.1,-4.40608e-08
0.1,0.0558883
0.1,-4.49324e-11
0.1,-3.18411e-09
0.1,-2.76291e-11
0.1,-1.74596e-09
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,-4.49328e-11
0.1,-6.32363e-09
0.1,-4.89435e-13
0.1,-3.27845e-13
0.1,-6.19092e-14
0.1,-1.50591e-08
0.1,-3.21548e-13
0.1,-1.77275e-13
0.1,-1.94804e-13
0.1,-2.67449e-13
0.1,-1.46454e-08
0.1,-1.29224e-14
0.1,-4.49325e-11
0.1,0.0846394
0.1,-4.63813e-10
0.1,-4.49324e-11
0.1,-8.95637e-14
0.1,-2.08246e-12
0.1,-1.1104e-14
0.1,-4.49324e-11
0.1,-2.88474e-09
0.1,-6.97602e-14
0.1,-4.49324e-11
0.1,-1.61066e-13
0.1,-2.15037e-11
0.1,-4.49323e-11
0.1,-3.91946e-13
0.1,-4.49324e-11
0.1,-1.64667e-08
0.1,-3.76307e-08
0.1,-2.99386e-08
0.1,-9.10918e-13
0.1,-6.84995e-11
0.1,-4.49324e-11
0.1,-1.07917e-10
0.1,-2.45756e-11
0.1,-2.14792e-09
0.1,-1.85247e-13
0.1,-2.81171e-13
0.1,-1.14597e-08
0.1,-2.31262e-11
0.1,-4.45957e-08
0.1,-4.41777e-09
0.1,-4.49323e-11
0.1,-3.64238e-09
0.1,-5.20841e-16
0.1,-9.55731e-10
0.1,-1.11484e-08
0.1,-7.43838e-11
0.1,-4.49324e-11
0.1,0.150181
0.1,-1.39983e-11
0.1,-3.21401e-08
0.1,-4.1402e-12
0.1,-4.49324e-11
0.1,0.201036
0.1,-8.12717e-10
0.1,-4.494e-11
0.1,-6.45051e-12
0.1,0.271742
0.1,-7.39848e-11
0.1,-9.17375e-09
0.1,-1.45967e-13
0.1,-1.11504e-13
0.1,-3.0656e-14
0.1,-8.54898e-14
0.1,-4.86246e-10
0.1,-6.86772e-10
0.1,-1.3588e-13
0.1,0.254176
0.1,-3.95426e-15
0.1,-5.56133e-09
0.1,-1.92466e-15
0.1,0.196587
0.1,-4.49324e-11
0.1,-6.89484e-10
0.1,-1.10913e-10
0.1,-2.26432e-14
0.1,-3.80965e-14
0.1,-6.34927e-11
0.1,-1.90162e-15
0.1,-4.49326e-11
0.1,-4.49324e-11
0.1,-1.07604e-09
